id_oblig,id_cli,cod_prod,vr_aprobado,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
1,1825,CR001,42246.51,42246.51,23553.47,704.11,2021-05-20,2026-05-20,0,0,BAJO
2,8936,CR003,3157.22,3157.22,1354.5,65.78,2017-02-26,2021-02-26,0,0,ALTO
3,435,CR018,10386.05,10386.05,4018.43,519.3,2023-01-17,2024-01-17,0,0,BAJO
4,4558,CR001,3914.63,3914.63,652.22,65.24,2022-03-05,2027-03-05,0,7,ALTO
5,5515,CR004,917.36,917.36,601.19,38.22,2025-02-01,2027-02-01,0,6,ALTO
6,7528,CR018,512.2,417.43,328.52,20.87,2025-04-04,2026-04-04,20,0,ALTO
7,5926,CR019,626.89,626.89,494.56,31.34,2022-08-21,2023-08-21,0,0,ALTO
8,3815,CR004,10701.89,10701.89,3386.65,445.91,2025-12-08,2027-12-08,0,16,
9,4375,CR023,1892.31,1892.31,852.68,94.62,2024-03-26,2025-03-26,0,0,MEDIO
10,4011,CR006,73113.01,73113.01,15698.2,870.39,2026-06-15,2033-06-15,0,82,BAJO
11,5314,CR025,17312.0,17312.0,6074.32,865.6,2023-01-28,2024-01-28,0,0,BAJO
12,1085,CR007,18697.04,18697.04,10125.92,519.36,2026-02-17,2029-02-17,0,30,BAJO
13,6483,CR021,13506.22,13506.22,6134.97,675.31,2024-08-28,2025-08-28,0,0,BAJO
14,9578,CR014,23467.34,23467.34,15963.41,1173.37,2020-06-19,2021-06-19,108,0,CRITICO
15,1490,CR025,380.1,380.1,212.99,19.01,2022-12-23,2023-12-23,0,0,ALTO
16,9772,CR003,31543.02,31543.02,24550.21,657.15,2024-11-13,2028-11-13,0,27,BAJO
17,189,CR022,6324.33,6324.33,3961.87,316.22,2021-11-10,2022-11-10,0,0,MEDIO
18,5574,CR004,1820.75,1820.75,1266.92,75.86,2026-07-05,2028-07-05,89,23,ALTO
19,8202,CR025,603.71,582.82,370.05,29.14,2020-01-11,2021-01-11,17,0,ALTO
20,2505,CR012,8337.58,8337.58,3987.75,416.88,2026-01-01,2027-01-01,50,5,ALTO
21,320,CR004,4680.94,4680.94,1074.69,195.04,2025-10-06,2027-10-06,0,14,ALTO
22,3947,CR019,1909.81,1909.81,1496.31,95.49,2025-05-24,2026-05-24,0,0,ALTO
23,8728,CR025,513.79,513.79,229.02,25.69,2024-03-05,2025-03-05,0,0,ALTO
24,9939,CR014,2910.91,2746.44,779.4,137.32,2023-08-27,2024-08-27,0,0,ALTO
25,6119,CR015,2749.04,2749.04,834.51,137.45,2024-07-09,2025-07-09,0,0,ALTO
26,9639,CR018,691.2,691.2,65.08,34.56,2024-03-04,2025-03-04,0,0,ALTO
27,1105,CR002,17894.53,17894.53,7409.42,248.54,2024-10-26,2030-10-26,0,50,MEDIO
28,8835,CR005,15850.29,15850.29,10119.85,188.69,2026-02-19,2033-02-19,0,78,MEDIO
29,6670,CR007,6414.89,6414.89,2567.68,178.19,2024-08-31,2027-08-31,0,12,MEDIO
30,888,CR022,15841.47,15841.47,4823.36,792.07,2025-05-31,2026-05-31,0,0,BAJO
31,1791,CR008,25747.7,25747.7,6666.31,357.61,2017-10-15,2023-10-15,0,0,BAJO
32,4093,CR003,33293.92,33293.92,17949.04,693.62,2026-06-08,2030-06-08,0,46,BAJO
33,8857,CR001,19534.94,18778.0,7718.11,312.97,2021-05-08,2026-05-08,0,0,MEDIO
34,6571,CR002,7469.56,7469.56,4765.97,103.74,2024-11-25,2030-11-25,0,51,MEDIO
35,7455,CR010,1557.52,1540.59,639.35,77.03,2024-10-12,2025-10-12,0,0,ALTO
36,3112,CR010,4523.91,4523.91,2764.03,226.2,2025-12-13,2026-12-13,0,4,
37,937,CR002,13762.66,13762.66,1275.24,191.15,2026-06-26,2032-06-26,0,70,MEDIO
38,8321,CR003,17770.14,17770.14,4023.21,370.21,2016-06-11,2020-06-11,0,0,MEDIO
39,1965,CR019,3477.29,3477.29,1888.27,173.86,2023-02-18,2024-02-18,0,0,MEDIO
40,9261,CR017,1290.92,1290.92,295.64,64.55,2026-08-05,2027-08-05,0,12,ALTO
41,6485,CR005,40150.71,40150.71,13647.17,477.98,2020-06-29,2027-06-29,60,10,ALTO
42,7509,CR020,7990.73,6503.81,971.29,325.19,2024-03-02,2025-03-02,0,0,MEDIO
43,5719,CR003,46378.11,46378.11,21213.97,966.21,2022-05-17,2026-05-17,0,0,BAJO
44,4957,CR020,7903.12,7903.12,5238.41,395.16,2024-08-08,2025-08-08,0,0,MEDIO
45,4906,CR022,9243.04,9243.04,1204.16,462.15,2024-03-24,2025-03-24,0,0,BAJO
46,9065,CR005,9085.22,9085.22,5138.81,108.16,2025-12-24,2032-12-24,0,76,MEDIO
47,4326,CR017,1721.33,1653.78,1111.36,82.69,2021-07-28,2022-07-28,0,0,ALTO
48,723,CR001,2001.0,2001.0,763.13,33.35,2022-11-01,2027-11-01,0,15,ALTO
49,7008,CR018,8116.04,8116.04,5486.01,405.8,2023-10-28,2024-10-28,0,0,BAJO
50,9544,CR018,551.76,551.76,413.72,27.59,2023-07-14,2024-07-14,0,0,ALTO
51,654,CR012,1025.19,1025.19,481.75,51.26,2024-03-24,2025-03-24,0,0,ALTO
52,6659,CR020,6496.87,5489.73,2181.5,274.49,2020-10-22,2021-10-22,86,0,ALTO
53,6756,CR001,7690.41,7295.53,5092.63,121.59,2026-04-16,2031-04-16,0,56,MEDIO
54,4066,CR009,7387.97,7387.97,4128.99,123.13,2020-05-05,2025-05-05,28,0,MEDIO
