cod_suc,nom_suc,tip_punto,ciudad,depto,latitud,longitud,activo
SUC0001,FinBank Sucursal Santiago SUC0001,SUCURSAL,Santiago,Región Metropolitana,-33.487767,-70.645145,ACTIVO
SUC0002,FinBank Sucursal Ciudad de México SUC0002,SUCURSAL,Ciudad de México,Ciudad de México,19.45027,-99.093982,ACTIVO
SUC0003,FinBank Corresponsal Lima SUC0003,CORRESPONSAL,Lima,Lima,-12.08703,-77.069534,ACTIVO
SUC0004,FinBank Sucursal Monterrey SUC0004,SUCURSAL,Monterrey,Nuevo León,25.701588,-100.311606,ACTIVO
SUC0005,FinBank Sucursal Córdoba SUC0005,SUCURSAL,Córdoba,Córdoba,-31.38317,-64.162919,ACTIVO
SUC0006,FinBank Sucursal Guadalajara SUC0006,SUCURSAL,Guadalajara,Jalisco,20.625248,-103.303879,ACTIVO
SUC0007,FinBank Sucursal Ciudad de México SUC0007,SUCURSAL,Ciudad de México,Ciudad de México,19.418498,-99.148804,ACTIVO
SUC0008,FinBank Sucursal Medellín SUC0008,SUCURSAL,Medellín,Antioquia,6.247823,-75.533888,ACTIVO
SUC0009,FinBank Sucursal Santiago SUC0009,SUCURSAL,Santiago,Región Metropolitana,-33.437048,-70.633129,ACTIVO
SUC0010,FinBank Corresponsal Lima SUC0010,CORRESPONSAL,Lima,Lima,-12.030274,-77.015493,ACTIVO
SUC0011,FinBank Corresponsal Ciudad de México SUC0011,CORRESPONSAL,Ciudad de México,Ciudad de México,19.420613,-99.137859,ACTIVO
SUC0012,FinBank Corresponsal Barranquilla SUC0012,CORRESPONSAL,Barranquilla,Atlántico,10.939451,-74.804602,ACTIVO
SUC0013,FinBank Sucursal Buenos Aires SUC0013,SUCURSAL,Buenos Aires,Buenos Aires,-34.590202,-58.378186,ACTIVO
SUC0014,FinBank Sucursal Guadalajara SUC0014,SUCURSAL,Guadalajara,Jalisco,20.708652,-103.3356,ACTIVO
SUC0015,FinBank Sucursal Córdoba SUC0015,SUCURSAL,Córdoba,Córdoba,-31.3925,-64.215895,ACTIVO
SUC0016,FinBank Sucursal Guadalajara SUC0016,SUCURSAL,Guadalajara,Jalisco,20.616319,-103.308286,ACTIVO
SUC0017,FinBank Corresponsal Bogotá SUC0017,CORRESPONSAL,Bogotá,Cundinamarca,4.726544,-74.082537,ACTIVO
SUC0018,FinBank Sucursal Guadalajara SUC0018,SUCURSAL,Guadalajara,Jalisco,20.623663,-103.325101,ACTIVO
SUC0019,FinBank Sucursal Valparaíso SUC0019,SUCURSAL,Valparaíso,Valparaíso,-33.007418,-71.62276,INACTIVO
SUC0020,FinBank Corresponsal Arequipa SUC0020,CORRESPONSAL,Arequipa,Arequipa,-16.409648,-71.511922,ACTIVO
SUC0021,FinBank Sucursal Cali SUC0021,SUCURSAL,Cali,Valle del Cauca,3.480808,-76.539784,ACTIVO
SUC0022,FinBank Corresponsal Medellín SUC0022,CORRESPONSAL,Medellín,Antioquia,6.247111,-75.534092,ACTIVO
SUC0023,FinBank Corresponsal Monterrey SUC0023,CORRESPONSAL,Monterrey,Nuevo León,25.648055,-100.277621,ACTIVO
SUC0024,FinBank Sucursal Barranquilla SUC0024,SUCURSAL,Barranquilla,Atlántico,10.929655,-74.787823,INACTIVO
SUC0025,FinBank Sucursal Monterrey SUC0025,SUCURSAL,Monterrey,Nuevo León,25.662939,-100.316041,INACTIVO
SUC0026,FinBank Corresponsal Santiago SUC0026,CORRESPONSAL,Santiago,Región Metropolitana,-33.469056,-70.655405,ACTIVO
SUC0027,FinBank Corresponsal Córdoba SUC0027,CORRESPONSAL,Córdoba,Córdoba,-31.453945,-64.14345,INACTIVO
SUC0028,FinBank Corresponsal Buenos Aires SUC0028,CORRESPONSAL,Buenos Aires,Buenos Aires,-34.621284,-58.429652,ACTIVO
SUC0029,FinBank Corresponsal Córdoba SUC0029,CORRESPONSAL,Córdoba,Córdoba,-31.439349,-64.233007,INACTIVO
SUC0030,FinBank Corresponsal Ciudad de México SUC0030,CORRESPONSAL,Ciudad de México,Ciudad de México,19.455791,-99.101598,ACTIVO
SUC0031,FinBank Sucursal Cali SUC0031,SUCURSAL,Cali,Valle del Cauca,3.414439,-76.534472,ACTIVO
SUC0032,FinBank Sucursal Buenos Aires SUC0032,SUCURSAL,Buenos Aires,Buenos Aires,-34.611386,-58.41042,ACTIVO
SUC0033,FinBank Corresponsal Bogotá SUC0033,CORRESPONSAL,Bogotá,Cundinamarca,4.732295,-74.082201,ACTIVO
SUC0034,FinBank Sucursal Arequipa SUC0034,SUCURSAL,Arequipa,Arequipa,-16.413851,-71.562709,ACTIVO
SUC0035,FinBank Sucursal Arequipa SUC0035,SUCURSAL,Arequipa,Arequipa,-16.435989,-71.565478,ACTIVO
SUC0036,FinBank Sucursal Bogotá SUC0036,SUCURSAL,Bogotá,Cundinamarca,4.66774,-74.118959,ACTIVO
SUC0037,FinBank Sucursal Guadalajara SUC0037,SUCURSAL,Guadalajara,Jalisco,20.676598,-103.378176,INACTIVO
SUC0038,FinBank Sucursal Buenos Aires SUC0038,SUCURSAL,Buenos Aires,Buenos Aires,-34.596079,-58.4073,ACTIVO
SUC0039,FinBank Sucursal Ciudad de México SUC0039,SUCURSAL,Ciudad de México,Ciudad de México,19.392293,-99.140095,ACTIVO
SUC0040,FinBank Corresponsal Monterrey SUC0040,CORRESPONSAL,Monterrey,Nuevo León,25.642017,-100.300754,ACTIVO
SUC0041,FinBank Sucursal Monterrey SUC0041,SUCURSAL,Monterrey,Nuevo León,25.67053,-100.279933,ACTIVO
SUC0042,FinBank Sucursal Medellín SUC0042,SUCURSAL,Medellín,Antioquia,6.208218,-75.612851,ACTIVO
SUC0043,FinBank Sucursal Ciudad de México SUC0043,SUCURSAL,Ciudad de México,Ciudad de México,19.426913,-99.097065,ACTIVO
SUC0044,FinBank Corresponsal Arequipa SUC0044,CORRESPONSAL,Arequipa,Arequipa,-16.375397,-71.4906,ACTIVO
SUC0045,FinBank Corresponsal Cali SUC0045,CORRESPONSAL,Cali,Valle del Cauca,3.442241,-76.533864,INACTIVO
SUC0046,FinBank Sucursal Cali SUC0046,SUCURSAL,Cali,Valle del Cauca,3.439497,-76.483469,ACTIVO
SUC0047,FinBank Corresponsal Medellín SUC0047,CORRESPONSAL,Medellín,Antioquia,6.222725,-75.561541,ACTIVO
SUC0048,FinBank Sucursal Santiago SUC0048,SUCURSAL,Santiago,Región Metropolitana,-33.427059,-70.70382,INACTIVO
SUC0049,FinBank Sucursal Buenos Aires SUC0049,SUCURSAL,Buenos Aires,Buenos Aires,-34.580126,-58.425504,ACTIVO
SUC0050,FinBank Sucursal Medellín SUC0050,SUCURSAL,Medellín,Antioquia,6.244485,-75.545928,INACTIVO
SUC0051,FinBank Sucursal Ciudad de México SUC0051,SUCURSAL,Ciudad de México,Ciudad de México,19.467734,-99.176348,ACTIVO
SUC0052,FinBank Sucursal Valparaíso SUC0052,SUCURSAL,Valparaíso,Valparaíso,-33.085211,-71.573671,ACTIVO
SUC0053,FinBank Sucursal Buenos Aires SUC0053,SUCURSAL,Buenos Aires,Buenos Aires,-34.645502,-58.365863,ACTIVO
SUC0054,FinBank Sucursal Guadalajara SUC0054,SUCURSAL,Guadalajara,Jalisco,20.630126,-103.327981,ACTIVO
SUC0055,FinBank Corresponsal Santiago SUC0055,CORRESPONSAL,Santiago,Región Metropolitana,-33.43435,-70.673578,INACTIVO
SUC0056,FinBank Corresponsal Lima SUC0056,CORRESPONSAL,Lima,Lima,-12.050571,-76.992955,ACTIVO
SUC0057,FinBank Sucursal Bogotá SUC0057,SUCURSAL,Bogotá,Cundinamarca,4.711588,-74.108854,ACTIVO
SUC0058,FinBank Corresponsal Bogotá SUC0058,CORRESPONSAL,Bogotá,Cundinamarca,4.697953,-74.106325,ACTIVO
SUC0059,FinBank Sucursal Buenos Aires SUC0059,SUCURSAL,Buenos Aires,Buenos Aires,-34.555315,-58.35089,ACTIVO
SUC0060,FinBank Corresponsal Arequipa SUC0060,CORRESPONSAL,Arequipa,Arequipa,-16.429062,-71.521161,ACTIVO
SUC0061,FinBank Sucursal Ciudad de México SUC0061,SUCURSAL,Ciudad de México,Ciudad de México,19.471571,-99.108958,ACTIVO
SUC0062,FinBank Corresponsal Bogotá SUC0062,CORRESPONSAL,Bogotá,Cundinamarca,4.732761,-74.10174,ACTIVO
SUC0063,FinBank Sucursal Medellín SUC0063,SUCURSAL,Medellín,Antioquia,6.219312,-75.540384,ACTIVO
SUC0064,FinBank Sucursal Guadalajara SUC0064,SUCURSAL,Guadalajara,Jalisco,20.614109,-103.366244,INACTIVO
SUC0065,FinBank Sucursal Cali SUC0065,SUCURSAL,Cali,Valle del Cauca,3.475723,-76.526832,ACTIVO
SUC0066,FinBank Sucursal Ciudad de México SUC0066,SUCURSAL,Ciudad de México,Ciudad de México,19.477105,-99.114098,ACTIVO
SUC0067,FinBank Sucursal Barranquilla SUC0067,SUCURSAL,Barranquilla,Atlántico,10.976751,-74.816491,ACTIVO
SUC0068,FinBank Sucursal Córdoba SUC0068,SUCURSAL,Córdoba,Córdoba,-31.37288,-64.234811,ACTIVO
SUC0069,FinBank Corresponsal Santiago SUC0069,CORRESPONSAL,Santiago,Región Metropolitana,-33.488621,-70.641288,ACTIVO
SUC0070,FinBank Sucursal Buenos Aires SUC0070,SUCURSAL,Buenos Aires,Buenos Aires,-34.578752,-58.339024,ACTIVO
SUC0071,FinBank Sucursal Córdoba SUC0071,SUCURSAL,Córdoba,Córdoba,-31.389023,-64.150658,ACTIVO
SUC0072,FinBank Corresponsal Barranquilla SUC0072,CORRESPONSAL,Barranquilla,Atlántico,10.996739,-74.790129,ACTIVO
SUC0073,FinBank Sucursal Bogotá SUC0073,SUCURSAL,Bogotá,Cundinamarca,4.687681,-74.043363,ACTIVO
SUC0074,FinBank Sucursal Medellín SUC0074,SUCURSAL,Medellín,Antioquia,6.216443,-75.549541,ACTIVO
SUC0075,FinBank Corresponsal Córdoba SUC0075,CORRESPONSAL,Córdoba,Córdoba,-31.382968,-64.216508,ACTIVO
SUC0076,FinBank Sucursal Guadalajara SUC0076,SUCURSAL,Guadalajara,Jalisco,20.696135,-103.302911,ACTIVO
SUC0077,FinBank Sucursal Valparaíso SUC0077,SUCURSAL,Valparaíso,Valparaíso,-33.029248,-71.578334,ACTIVO
SUC0078,FinBank Sucursal Guadalajara SUC0078,SUCURSAL,Guadalajara,Jalisco,20.627557,-103.303347,ACTIVO
SUC0079,FinBank Sucursal Valparaíso SUC0079,SUCURSAL,Valparaíso,Valparaíso,-33.062631,-71.584057,INACTIVO
SUC0080,FinBank Sucursal Ciudad de México SUC0080,SUCURSAL,Ciudad de México,Ciudad de México,19.42112,-99.125541,ACTIVO
SUC0081,FinBank Corresponsal Lima SUC0081,CORRESPONSAL,Lima,Lima,-12.044408,-77.012149,INACTIVO
SUC0082,FinBank Sucursal Monterrey SUC0082,SUCURSAL,Monterrey,Nuevo León,25.703663,-100.329678,ACTIVO
SUC0083,FinBank Sucursal Barranquilla SUC0083,SUCURSAL,Barranquilla,Atlántico,10.980816,-74.764961,INACTIVO
SUC0084,FinBank Sucursal Arequipa SUC0084,SUCURSAL,Arequipa,Arequipa,-16.428072,-71.546661,ACTIVO
SUC0085,FinBank Sucursal Cali SUC0085,SUCURSAL,Cali,Valle del Cauca,3.420784,-76.515507,ACTIVO
SUC0086,FinBank Sucursal Cali SUC0086,SUCURSAL,Cali,Valle del Cauca,3.463151,-76.551905,ACTIVO
SUC0087,FinBank Corresponsal Guadalajara SUC0087,CORRESPONSAL,Guadalajara,Jalisco,20.630718,-103.321024,ACTIVO
SUC0088,FinBank Sucursal Medellín SUC0088,SUCURSAL,Medellín,Antioquia,6.238416,-75.60983,INACTIVO
